"Source Name","BLAKE3 Hash Digest","SIMD Tier","Threads Used","Execution Time (s)","Throughput (MB/s)","File Size (bytes)","Data Source"
f0157016.jpg,"1fdd3792e83253046b3f3567e48c07b0248398900b62fbe9238f96d6601dc570",AVX-512,12,0.000263,82.437,22691,2011-10-19-Sample.E01
f0156968.jpg,"f2b6cc54c89b552673734209a0f6f15c0c4d611ed87c770d15b4bf2a1f89281d",AVX-512,12,0.000307,70.705,22798,2011-10-19-Sample.E01
f0156920.jpg,"1220f8de7e956e0871a0fa27e3cb493885903a3c2bbddbc77334aab8e941091a",AVX-512,12,0.000244,88.609,22643,2011-10-19-Sample.E01
f0156872.jpg,"c9ce1a9a1a4f6f2c145de8c9c9d141331fe95fbd4d44e45cfe01e3ca00bc744d",AVX-512,12,0.000602,34.53,21779,2011-10-19-Sample.E01
f0156824.jpg,"150644abfcf2c3a7515db86dd393aa0df0dfa67756ce0b1e364b00b02bdebd5c",AVX-512,12,0.000252,81.365,21500,2011-10-19-Sample.E01
f0156744.jpg,"67db227a60fa152d256397d7e20d86d2804f55c8e8c20aa9f3a3db5d22200f7e",AVX-512,12,0.000288,58.072,17519,2011-10-19-Sample.E01
f0156784.jpg,"91966f3abcb51129edb8626cac14e1ab093c2b09b97d6cb9560540341708a04e",AVX-512,12,0.000542,31.913,18154,2011-10-19-Sample.E01
f0156728.jpg,"31ac4cf77d6b736e79c0912eddb6e745099792b2e78d4f610e81356f9b87f9af",AVX-512,12,0.000303,5.74,1825,2011-10-19-Sample.E01
f0156736.jpg,"d137883cbe2238d34dc6357e63aaa80f4c5a560c1945750bd8fb8975fd767b19",AVX-512,12,0.000332,7.648,2665,2011-10-19-Sample.E01
f0156720.jpg,"b645e0802f31eb2883b6a91492ba7a5bc420717a002b5906727afbd86cbc732c",AVX-512,12,0.00032,5.569,1867,2011-10-19-Sample.E01
f0156712.jpg,"51e8d65fa1b5d7ba26a5df56c036a2cc8e11d4d46dbbb973918ac1fbfee55426",AVX-512,12,0.000341,7.827,2798,2011-10-19-Sample.E01
f0156704.jpg,"e504557a22e0aea6106aef318e76e9ddcbbd165ec4f716cc31979846baba0950",AVX-512,12,0.000279,11.324,3313,2011-10-19-Sample.E01
f0156696.jpg,"c091d5f5b659b736a4d825f8481f1e3a59acabb808dc5fde257be44389f7510c",AVX-512,12,0.000281,6.429,1891,2011-10-19-Sample.E01
f0156688.jpg,"412ceeed3ac4d35ea31e7bfb99a1329494191b7d2f7c551ad7e269f2b5d2de94",AVX-512,12,0.000232,7.728,1880,2011-10-19-Sample.E01
f0156680.jpg,"6ec84c401443a556d7e2b6f05aa76bde23ce1d7285c61b7d1c35cdf1ff48a468",AVX-512,12,0.000216,13.809,3132,2011-10-19-Sample.E01
f0156664.jpg,"d49f379b324cfc00032fa69b28cb7d21a1e03560e89274e3aaeac87e09c0c5f8",AVX-512,12,0.000242,10.538,2674,2011-10-19-Sample.E01
f0156672.jpg,"2199fd388bba7c58650835b510fc1aea5ba77ecae8c4c23ea0af3c01808a999e",AVX-512,12,0.000389,4.809,1960,2011-10-19-Sample.E01
f0156624.jpg,"ad827f00bda59a98bda589ae436ceed4b201b387073c59f02a43e60073a3e12c",AVX-512,12,0.000717,11.493,8638,2011-10-19-Sample.E01
f0156648.jpg,"241a5f2a9aafa64e999664100325bea03de906f89d4ece684b7a2df75cc002b5",AVX-512,12,0.000234,30.706,7531,2011-10-19-Sample.E01
f0156592.jpg,"43684b64effe574f1707a96007737b6ab6e1fcced16ff2a525c9363b13f27524",AVX-512,12,0.000263,29.516,8149,2011-10-19-Sample.E01
f0156608.jpg,"4b05fba7c1c0fd460c0772815d6ad30d682bcdda69c85bbba223735e7b3948fb",AVX-512,12,0.00031,23.747,7724,2011-10-19-Sample.E01
f0156568.jpg,"24628535fb7b871302c0223f4af889e8daba0edfd59ecb25ae52102fb277b8de",AVX-512,12,0.000328,25.885,8911,2011-10-19-Sample.E01
f0156544.jpg,"fbcc5ffa7715424740aecdc5e9283abfd01dec022cfcfe984e5ae5d3cfe177c1",AVX-512,12,0.00025,41.359,10829,2011-10-19-Sample.E01
f0156520.jpg,"6a7faa7d5e444e4ea2b8110f7c87b771bb3cd7cb146da729ea157c5ff5f8906f",AVX-512,12,0.000229,44.229,10602,2011-10-19-Sample.E01
f0156496.jpg,"002f33437ee6027e515cc341df62083d1e0c737b55bae1ab0f25d93cfc977843",AVX-512,12,0.000368,22.162,8561,2011-10-19-Sample.E01
f0156464.jpg,"c0669a8f97dd16648e8ce108a1f6ca045bf12fed2b4d1496427b96b40bb939b1",AVX-512,12,0.000231,59.349,14357,2011-10-19-Sample.E01
f0156432.jpg,"d4aecd3fe5191176a1e67da7cdbc15f677acb2a6be6aeb4efa33acaacfaef084",AVX-512,12,0.000265,52.854,14681,2011-10-19-Sample.E01
f0156408.jpg,"f59be29c4c331df7b0d9a505aa3745bcdb76f3758086055a8711f65a0302a91b",AVX-512,12,0.000389,25.159,10270,2011-10-19-Sample.E01
f0156392.jpg,"05476e919a65560f58838dec746933837e3f7dc195962ee0eb1a58264fb4f550",AVX-512,12,0.000525,13.073,7201,2011-10-19-Sample.E01
